,title,director,cast,country,date_added_netflix,release_year,rating,duration,listed_in,description,rotten_rate,netflix,hulu,prime,disney,date_added_amazon,date_added_hulu,date_added_disney
3004,The Ruins,Carter Smith,"Jonathan Tucker, Jena Malone, Laura Ramsey, Shawn Ashmore, Joe Anderson",No Data,1970-01-01,2008,R,91 min,Horror,"Based on the terrifying best-seller by Scott Smith, ""The Ruins"" follows a group of friends who become entangled in a brutal struggle for survival after visiting a remote archaeological dig in the Mexican jungle where they discover something deadly living among the ruins.",67,0,0,1,0,1970-01-01,2021-07-01,1970-01-01
3005,The Retrievers,Paul Schneider,"Robert Hays, Mei Harris, Alan Rachins",No Data,1970-01-01,2001,ALL,90 min,"Comedy, Kids","Soon after the Lowry Family - Tom, his wife Karen, and their two children, Liz and Widdy - leave the big city and move to the small Northern California town of Placerville, they are 'adopted' by a very clever, yet lovable, stray golden retriever - Pilot.",44,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3006,The Parallax View,Alan J. Pakula,"Warren Beatty, Hume Cronyn, Paula Prentiss, Kenneth Mars",United States,1970-01-01,1974,R,102 min,Drama,"Warren Beatty is a news reporter who, along with seven others, witnesses the assassination of a political candidate.",67,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3007,The Painted Hills,"Howard Kress, Harold F. Kress","Paul Kelly, Bruce Cowling, Gary Gray, Art Smith, Ann Doran, Chief Yowlachie, Andrea Virginia Lester, Brown Jug Reynolds, Lassie",No Data,1970-01-01,1951,G,87 min,"Adventure, Drama","Lassie to the rescue in this family story set in the 1870's. After years of prospecting, Jonathan finally strikes gold. He returns to town only to discover that his partner has since died and left Tommy fatherless. He decides to leave Shep (played by Lassie) with Tommy to cheer him up.",43,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3009,The Odd Couple,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, Monica Evans",No Data,1970-01-01,1968,G,105 min,"Comedy, Drama","Two divorced men decide to share a New York apartment. Fussy Felix, fastidious to a fault. He proves that cleanliness is next to insanity. And Oscar, who wreaks havoc on a tidy room with the speed and thoroughness of a tornado.",70,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3010,The North Star,Lewis Milestone,"Anne Baxter, Dana Andrews, Walter Huston, Walter Brennan, Ann Harding, Jane Withers, Farley Granger, Erich von Stroheim, Dean Jagger",No Data,1970-01-01,1943,13+,106 min,"Drama, Military and War","A small Ukrainian village is attacked by the Nazi as part of the German invasion. Erich von Stroheim, a brutal German doctor takes the children of the village and uses them to transfer blood from them to wounded German soldiers. As the children start dying, the villagers organize an attack.",49,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3011,The Myth of Fingerprints,Bart Freundlich,"Julianne Moore, Chris Bauer, Arija Bareikis, Roy Scheider, Noah Wyle, Hope Davis, Blythe Danner, James Le Gros, Michael Vartan, Laurel Holloman, Brian Kerwin",No Data,1970-01-01,1997,R,91 min,"Comedy, Drama, Romance","The adult children of a conservative New England family return home for Thanksgiving weekend and find themselves forced to come to grips with their family's dysfunction. The prime difficulty comes from the fact that their parents, particularly their already taciturn and enigmatic father, are rapidly distancing themselves from their children.",52,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3012,The Monster Squad,Fred Dekker,"Andre Gower, Duncan Regehr, Ryan Lambert, Stephen Macht, Tom Noonan",United States,1970-01-01,1987,PG-13,82 min,"Action, Comedy, Horror","Dracula, the Wolf Man, the Gill-Man, the Mummy, and the Frankenstein Monster are in hot pursuit of a mysterious amulet that will allow their return and only the movie-loving kids in the neighborhood Monster Club can stop them!",69,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3013,The Monkey's Paw,Brett Simmons,"C.J. Thomason, Stephen Lang, Michelle Pierce",No Data,2021-07-12,2013,16+,88 min,"Horror, Suspense","Jake is given a mystical monkey's paw that grants three wishes, but things go terribly wrong when he brings his friend back from the dead.",49,0,0,1,0,1970-01-01,2021-06-15,1970-01-01
3014,The Missing Corpse,Albert Herman,"J. Edward Bromberg,  Isabel Randolph,  Frank Jenks,  Eric Sinclair,  Paul Guilfoyle,  Ben Welden",No Data,1970-01-01,1945,13+,78 min,"Comedy, Suspense","A feud between rival newspapermen Kruger (Bromberg) and McDonald (Guilfoyle) goes deadly when blackmailing McDonald ends up murdered and his corpse planted in the trunk of Kruger's car. Good guy Kruger attempts to hide McDonald's body, with the help of chauffeur Hogan (Jenks), to keep from being charged with murder. However, zany scenarios occur as the body just won't stay hidden, and keeps on popping up in multiple places where Kruger is located, leading to him hiding the body again and again while Kruger tries to find the real killer.",42,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3015,The Marksman,Marcus Adams,"Wesley Snipes, William Hope, Emma Samms, Anthony Warren, Peter Youngblood Hills, Vlad Ivanov",No Data,1970-01-01,2005,R,95 min,Action,Chechen rebels take over a Russian nuclear plant and it's up to a mysterious agent (Snipes) to stop them.,48,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3016,The Mandela Effect,David Guy Levy,"Charlie Hofheimer, Aleksa Palladino, Robin Lord Taylor, Madeleine McGraw, Clarke Peters",No Data,2021-07-01,2019,13+,80 min,"Drama, Science Fiction","A man becomes obsessed with facts and events that have been collectively misremembered by thousands of people. Believing the phenomena to be the symptom of something larger, his obsession eventually leads him to question reality itself.",58,0,1,1,0,1970-01-01,2020-05-20,1970-01-01
3017,The Man From Utah,Robert N. Bradbury,"John Wayne, George ""Gabby"" Hayes, Polly Ann Young, Yakima Canutt, Edward Peil, Anita Campillo, Lafe McKee, George Cleveland, Earl Dwire, George F. Hayes",No Data,2021-07-01,1934,13+,56 min,Western,"A rambling cowboy becomes an undercover deputy, entering a rodeo to find out why the potential winners keep getting murdered.",47,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3018,The Long Walk Home,Richard Pearce,"Sissy Spacek, Whoopi Goldberg, Dwight Schultz",No Data,2021-07-01,1990,13+,96 min,"Drama, Kids","One black and one white woman in 1955 Montgomery, Alabama must decide what they are going to do in response to the famous bus boycott lead by Martin Luther King.",60,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3019,The Little Traitor,Lynn Roth,"Ido Port, Alfred Molina, Gilya Stern, Rami Heuberger, Theodore Bikel",No Data,2021-07-01,2009,13+,89 min,Drama,A coming of age tale of the unlikely bond between a kindly British soldier and a spirited Jewish boy set against the backdrop of the birth of the State of Israel.,50,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3020,The Little Prince,Mark Osborne,"Jeff Bridges, Rachel McAdams, Paul Rudd",No Data,2021-07-01,2015,PG,107 min,"Animation, Kids",A pilot crash-lands in the Sahara and finds a boy who says he's a prince fallen to Earth from his asteroid home.,74,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3021,The Little Foxes,William Wyler,"Bette Davis, Herbert Marshall, Teresa Wright",No Data,2021-07-01,1941,13+,116 min,"Drama, Romance","The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the twentieth century.",66,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3022,The Liberation of L.B. Jones,William Wyler,"Lee J. Cobb, Roscoe Lee Browne, Anthony Zerbe, Lola Falana, Lee Majors, Barbara Hershey, Yaphet Kotto, Dub Taylor, Chill Wills, Ray Teal",No Data,1970-01-01,1970,R,103 min,"Drama, Romance, Suspense",A Southern lawyer uncovers the truth about a slain undertaker.,49,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3023,The Legend of Halloween Jack,Andrew Jones,"Jo Hart, Aaron Jeffcoate, Lee Bane",No Data,1970-01-01,2018,18+,84 min,"Horror, Suspense","On Halloween night, a serial killer returns from the dead to take revenge on the vigilantes who put him to death one year earlier.",44,0,0,1,0,1970-01-01,2021-06-01,1970-01-01
3024,The Last Witness,Piotr Szkopiak,"Alex Pettyfer, Robert Wieckiewicz, Talulah Riley",No Data,1970-01-01,2018,16+,93 min,"Drama, Suspense","An ambitious young journalist uncovers the horrific slaughter of 22,000 Polish officers during the Second World War. A secret that has been kept hidden for far too many years.",55,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3025,The Last Sharknado: It's About Time,Anthony C. Ferrante,"Tara Reid, Ian Ziering, Cassie Scerbo, Vivica A. Fox, Judah Friedlander",United States,2021-07-01,2018,13+,89 min,"Action, Science Fiction","Determined to bring his family back to life, Gil sends his father Fin back in time to stop the Sharknados from starting. Along the way, he fights dinosaurs, knights, cowboys, and a robot version of his wife. This time - it's not how to stop the Sharknados, but when.",52,0,0,1,0,1970-01-01,2021-06-01,1970-01-01
3026,The Last Descent,Isaac Halasima,"Chadwick Hopson, Alexis Johnson",No Data,1970-01-01,2016,PG,105 min,"Drama, Faith and Spirituality, Suspense","In 2009, John Jones explored an un-mapped section of the famous Nutty Putty Cave. After becoming stuck in a hole 18 inches wide and 150 feet under ground, rescue crews worked frantically and heroically to free him. This is the story inspired by not only the incident at Nutty Putty, but by the way John lived his entire life.",53,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3027,The Kill Team,Dan Krauss,"Nat Wolff, Alexander Skarsgård",No Data,1970-01-01,2019,R,88 min,"Action, Suspense","When a young US soldier in Afghanistan witnesses other recruits killing civilians under the direction of a sadistic sergeant, he begins to fear that the men he's serving with might be the ones to kill him.",61,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3028,The Kid's Last Ride,S. Roy Luby,"Ray ""Crash"" Corrigan, John ""Dusty"" King, Max ""Alibi"" Terhune, Edwin Brian, Luana Walters, Al Bridge, Glenn Strange",No Data,1970-01-01,1941,13+,68 min,"Action, Western","The Range Busters travel to Gopher City to become the town's peace officers.The trio soon finds young Jimmy Rowell losing all his money to crooked saloon owner Bob Harmon and his henchman Bart Gill, a pair of outlaw brothers who seek revenge against Jimmy and his sister Sally, due to their county judge father having a third brother hanged for his crimes. Harmon forces Jimmy to help him rob a local rancher. The Range Busters kill Bart and help a wounded Jimmy see the error of his ways. In retaliation, Harmon lures the Range Busters to the gang's secret hideout for a final showdown.",40,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3029,The Joneses,Derrick Borte,"David Duchovny, Demi Moore, Amber Heard, Ben Hollingsworth, Gary Cole, Glenne Headly",No Data,1970-01-01,2010,R,96 min,Drama,"A picture-perfect family moves into a suburban neighborhood and immediately becomes the toast of the town, loved and envied by all. It's all marketing...",65,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3030,The Jazz Singer,Richard Fleischer,Neil Diamond,No Data,1970-01-01,1980,13+,116 min,Drama,"Neil Diamond adds his own distinctive sounds to the classic role of a young Jewish cantor on the verge of a dream. It's the story of a man who forsakes the synagogue choir for a chance at rock superstardom. Defying his father, he turns his back on his marriage and community to team up with his new manager, Molly.",57,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3031,The Iron Mask,Allan Dwan,"DOUGLAS FAIRBANKS, NIGEL DE BRULIER, BELLE BENNETT, MARGUERITE DE LA MOTTE, DOROTHY REVIER, VERA LEWIS, ROLFE SEDAN",No Data,2021-07-01,1929,ALL,103 min,Adventure,"D'Artagnan and his fellow musketeers set out to save the life of King Louis XIV, the rightful King of France. He has been imprisoned in a remote castle dungeon by his brother and forced to wear an iron mask.",52,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3032,The In Crowd,Mary Lambert,"Susan Ward, Lori Heuring, Matthew Settle, Nathan Bexton",No Data,1970-01-01,2000,16+,106 min,"Drama, Suspense","A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",48,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3033,The Immortalists,"David Alvarado, Jason Sussberg","Bill Andrews, Aubrey de Grey, Colin Blakemore, Adelaide Carpenter, Terry Grossman, Leonard Hayflick, Randy Lee","United Kingdom, United States, India",1970-01-01,2014,7+,77 min,"Documentary, Special Interest","What would the world look like if humans never grew old? Two eccentric biologists are determined to find out. In this larger-than-life doc, Bill Andrews and Aubrey de Grey leave behind the journals and peer reviews of the scientific establishment to embark on a quest for the age-old secret of eternal youth.",46,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3034,The Hollow Child,Jeremy Lutter,"Jessica McLeod, Hannah Cheramy, John Emmet Tracy",Canada,1970-01-01,2018,16+,88 min,Horror,"Highly intelligent and malicious creatures known as The Hollow Ones live in the woods and entice children with their hypnotic folklore music. Samantha, a young foster teen, must fight to expose these dangerous supernatural impostors to save her younger sister who has been taken, otherwise her soul will be lost forever.",50,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3035,The Hero,Brett Haley,"Sam Elliot, Krysten RItter, Nick Offerman, Laura Prepon",No Data,1970-01-01,2017,16+,97 min,"Comedy, Drama","World-renowned icon Sam Elliott stars as an aging actor confronting mortality in ""The Hero,"" a beautifully poignant celebration of life and the legacies we leave behind. Also starring Laura Prepon, Nick Offerman, and Krysten Ritter.",63,0,1,1,0,1970-01-01,2020-12-18,1970-01-01
3036,The Haunting of Sharon Tate,Daniel Farrands,"Hilary Duff, Jonathan Bennett, Lydia Hearst, Pawel Szajda, Ryan Cargill",No Data,2021-07-01,2019,R,91 min,"Horror, Suspense","Based on one of Hollywood’s most chilling murder cases, this thriller follows pregnant actress Sharon Tate (Hilary Duff), whose terrifying premonitions are brought to life by Charles Manson and his cult.",48,0,0,1,0,1970-01-01,2021-07-01,1970-01-01
3037,The Hard Corps,Sheldon Lettich,"Jean-Claude Van Damme, Vivica A. Fox, Razaaq Adoti, Peter Bryant, Ron Bottitta, Viv Leacock, Adrian Holmes",No Data,2021-07-01,2006,R,110 min,"Action, Suspense",An Army veteran assembles a team of bodyguards to protect a former boxer. Complications arise when the boxer suspects his sister may be romantically involved with the bodyguard.,52,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3038,The Guv'nor,Paul Van Carter,"Lenny McLean, Jamie McLean, Guy Ritchie, Jason Flemyng",No Data,1970-01-01,2016,16+,85 min,Documentary,"Donned as ""the hardest man in London"", this documentary is an extraordinary journey into the brutal brilliance of infamous East End boxer Lenny McClean, also known as the ""The Guv'nor"". From being a bouncer in London's West End, to life in the ring and his work with acclaimed director Guy Ritchie, McClean's story and journey is told through the eyes of his son Jamie.",54,0,0,1,0,1970-01-01,2021-05-15,1970-01-01
3039,The Great War,Steven Luke,"Ron Perlman, Billy Zane, Bates Wilder, Hiram A Murray",No Data,2021-06-02,2019,R,110 min,"Action, Drama","During the last days of the Great War, Lt. William Rivers leads a squad of U.S. troopers behind enemy lines to locate a missing platoon of African American ""Buffalo"" soldiers.",47,0,0,1,0,1970-01-01,2021-05-15,1970-01-01
3040,The Ghost Army,Rick Beyer,Peter Coyote,No Data,1970-01-01,2013,13+,68 min,"Documentary, Drama","The Ghost Army was officially known as the 23rd Headquarters Special Troops. From June 1944 to March 1945 it staged 20 battlefield deceptions, beginning in Normandy and ending at the Rhine River.",53,0,0,1,0,1970-01-01,2021-05-15,1970-01-01
3041,The Gambler,Karel Reisz,"James Caan, Lauren Hutton, Paul Sorvino, Morris Carnovsky, Jacqueline Brookes",No Data,1970-01-01,1974,R,111 min,Drama,"James Caan portrays a compulsive gambler who can't quit or win. He falls into debt to the mob for $40,000 but seems to relish the thrill of gambling against the long shot.",62,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3042,The Front,Martin Ritt,"Woody Allen, Zero Mostel, Herschel Bernardi, Michael Murphy, Andrea Marcovicci, Danny Aiello, Sam McMurray",No Data,1970-01-01,1976,13+,95 min,"Comedy, Drama","Woody Allen plays a bookmaker who become ""a front"" for a group of blacklisted Hollywood screenwriters who aren't able to get a job, because of their alleged communist ties. The Front was written by blacklisted Walter Bernstein and features performances from several blacklisted entertainers, including Herschel Bernardi, Joshua Shelley, Lloyd Gough, and Zero Mostel.",63,0,0,1,0,1970-01-01,2021-05-15,1970-01-01
3043,The Forbidden Dance,Greydon Clark,"Laura Harring, Jeff James, Sid Haig, Kenny Johnson, Steven Williams, Richard Lynch",No Data,1970-01-01,1990,PG-13,97 min,"Arts, Entertainment, and Culture, Comedy, Romance","When the Brazilian rainforest home of young Princess Nisa is threatened by greedy American businesses, she travels to Los Angeles to find a way to stop the rainforest destruction herself. When a young man who loves to dance crosses her path, and together they enter a televised lambada contest, Nisa might have found the answer to her prayers.",45,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3044,The Flying Deuces,A. Edward Sutherland,No Data,No Data,1970-01-01,1939,ALL,68 min,Comedy,"Oliver is heartbroken when he finds that Georgette, the inkeeper's daughter he's fallen in love with, is already married to dashing Foreign Legion officer Francois.",57,0,0,1,0,1970-01-01,2021-05-09,1970-01-01
3045,The Flaw,David Sington,"Andrew Luan, Robert Shiller, Louis Hyman",United Kingdom,1970-01-01,2011,13+,81 min,Special Interest,"The definitive doc on the 2008 financial crash - The Flaw goes beyond easy explanations of greedy bankers and incompetent regulators its investigation goes to the root causes of the USA's and UK's deluded belief that everyone could be rich and property prices would rise forever, and asks the question: why are the perpetrators of the mess now entrusted with the lucrative task of clearing it up?",71,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3046,The First American,Kevin Knoblock,"Newt Gingrich, Callista Gingrich, Robert Lyons, Beverly Simmons, Ed Lengel, Edward Larson, Walter Isaacson, Victor Hanson, Joe Ellis, Douglas Brinkley, Gay Gaines, Allen Guelzo, H.W. Brands, Jane Hampton Cook, William Forstchen",No Data,1970-01-01,2016,13+,91 min,"Documentary, Special Interest","George Washington is central to understanding America's founding. He was the crucial ﬁgure in winning the American Revolution, in creating the Constitution, and in establishing the precedents for effective self-government as our ﬁrst president.",47,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3048,The Fatal Hour,William Nigh,"Boris Karloff, Marjorie Reynolds, Grant Withers, Charles Trowbridge, John Hamilton, Frank Puglia, Jason Robards Sr., Craig Reynolds",No Data,1970-01-01,1940,PG,68 min,Suspense,"Detective Captain Bill Street's (Withers) best friend Dan O'Grady, a fellow police officer, is murdered, and Bill brings in Detective James Lee Wong (Karloff) to investigate, along with gal reporter Bobbie Logan (Reynolds). The trio begin to uncover a jewelry smuggling ring on the San Francisco waterfront, possibly headed by Beldon (Reynolds), the son of a local crooked businessman. In the climatic ending, Mr. Wong tempts death during a jewelry-store robbery.",37,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3049,The Fare,D.C. Hamilton,"Gino Anthony Pesi, Brinna Kelly, Jason Stuart",No Data,1970-01-01,2019,16+,82 min,"Romance, Science Fiction","Harris, a world-weary taxi driver, and his fare, Penny, find themselves trapped in an endlessly looping ride that changes their lives forever.",60,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3050,The Far Frontier,William Witney,"Roy Rogers, Trigger, Gail Davis, Andy Devine, Francis Ford, Roy Barcroft, Clayton Moore, Robert Strange, Holly Bane, Lane Bradford, John Bagni, Clarence Straight, Edmund Cobb, Foy Willing, Riders of the Purple Sage, George Bamby, Stanley Blystone, Tom London, Jack O'Shea, Johnny Paul, Darol Rice, Charles Sherlock, Al Sloey",No Data,1970-01-01,1948,13+,56 min,Western,Roy saves the day by thwarting a band of outlaws who are smuggling themselves across the border in soybean oil cans. Includes musical numbers and horse tricks.,42,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3052,The Endless Summer,Bruce Brown,"Robert August, Lord 'Tally Hoo' Blears, Michael Hynson, Wayne Miyata",No Data,1970-01-01,1966,PG,92 min,"Documentary, Sports","They call it The Endless Summer; the ultimate surfing adventure, crossing the globe in search of the perfect wave.",65,0,0,1,0,1970-01-01,2021-05-01,1970-01-01
3053,The Elephant Man,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft",No Data,1970-01-01,1980,PG,123 min,"Drama, Suspense","The film examines the complex emotional experiences faced by John Merrick. ""The Elephant Man"", when he is discovered by a dedicated surgeon. Rescued from his life as a circus freak, Merrick is given a chance to live his last years with respect.",80,0,0,1,0,1970-01-01,2021-05-01,1970-01-01
3054,The Dragon Pearl,Mario Andreacchio,"Sam Neill, Louis Corbett, Li Lin Jin, Ji Wang, Robert Mammone, Jordan Chan, Chen Bao Yuan, Junkang Wang",No Data,1970-01-01,2011,PG,95 min,"Action, Kids, Science Fiction",Josh & Ling thought they were in for a boring visit with each of their parents at an archaeological dig in China But the new friends soon discover they're right in the middle of an adventure when they find a mournful Dragon that's been trapped deep in a mystical temple for thousands of years According to ancient legend the dragon is missing its life force a sacred pearl hidden in a secret chamber,46,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3055,The Dead Center,Billy Senese,"Shane Carruth, Poorna Jagannathan, Jeremy Childs",No Data,1970-01-01,2019,NC-17,93 min,"Horror, Suspense","As a very dead suicide victim (Jeremy Childs, 'Preacher') disappears from the morgue, troubled psychiatrist Daniel Forrester (Shane Carruth, 'Primer') is drawn to help a mysterious catatonic patient in the emergency psych ward, where a spate of mysterious deaths occur. As Forester investigates further, a desperate race begins against the forces of evil that threaten to swallow him whole.",57,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3056,The Dark Red,Dan Bush,"April Billingsley, Kelsey Scott, Conal Byrne, Rhoda Griffis, John Curran, Jill Jane Clements, Bernard Setaro Clark",No Data,1970-01-01,2020,18+,98 min,"Action, Horror","When a young woman is committed to a psychiatric hospital claiming that her newborn has been stolen by a dark cult in order to harvest its supernatural blood, her doctor must determine if she is dangerous before she can be released.",52,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3057,The Creepy Line,M.A. Taylor,"Jordan B. Peterson, Robert Epstein, Peter Schweizer, Brad Shear, Luther Lowe",No Data,1970-01-01,2018,7+,81 min,"Documentary, Special Interest","The Creepy Line reveals the stunning degree to which society is manipulated by Google and Facebook and blows the lid off the remarkably subtle - hence powerful - manner in which they do it. Offering first-hand accounts, scientific experiments and detailed analysis, the film examines what is at risk when these tech titans have free reign to utilize the public's most private and personal data.",49,0,0,1,0,1970-01-01,2021-04-30,1970-01-01
3058,The Creeping Flesh,Freddie Francis,"Christopher Lee, Peter Cushing, David Bailie, Larry Taylor",No Data,1970-01-01,1973,PG,92 min,"Horror, Science Fiction","A Victorian-age scientist returns to London with his paleontological bag-of-bones discovery from Papua New Guinea. Unfortunately, when exposed to water, flesh returns to the bones unleashing a malevolent being on the scientist's family and friends.",57,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3059,The Courageous Dr. Christian,Bernard Vorhaus,"Jean Hersholt, Dorothy Lovett, Robert Baldwin, Tom Neal, Maude Eburne, Very Lewis",No Data,1970-01-01,1940,ALL,66 min,Drama,"In this second movie in the Dr. Christian series, kindly Dr. Christian tends to the needs of the inhabitants living in the squalor of the town's shanty district. The indigents and Dr. Christian are largely ignored by the local townspeople, until an epidemic of spinal meningitis threatens the entire community.",37,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3060,The Competition,Joel Oliansky,"Richard Dreyfuss, Amy Irving, Lee Remick, Sam Wanamaker",No Data,1970-01-01,1980,PG,126 min,"Arts, Entertainment, and Culture, Drama, Romance","While competing against each other in a music contest, two pianists (Richard Dreyfuss, Amy Irving) fall in love and must battle to stay together in case either of them wins. Oscar-nominated for Best Song and Best Film Editing.",55,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3061,The Collector,Marcus Dunstan,"Josh Stewart, Madeline Zima, Andrea Roth, Daniella Alonso, Robert Wisdom, Juan Fernández, Goldner Ayala, Gregory Alan Williams",No Data,1970-01-01,2009,R,90 min,"Action, Horror, Suspense","Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps.",70,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3062,The Cleansing,Antony Smith,"Rebecca Acock, Rhys Meredith, Simon Nehan",No Data,1970-01-01,2019,18+,98 min,Horror,A young girl in medieval Britain must watch her mother undergo torture and murder for practicing witchcraft by The Cleanser.,45,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3063,The Christmas Candle,John Stephenson,"Hans Matheson, Samantha Barks, Lesley Manville, Sylvester McCoy, James Cosmo, John Hannah, Barbara Flynn",No Data,1970-01-01,2013,PG,100 min,"Drama, Faith and Spirituality, Romance","Legend has it every 25 years an angel touches a single candle, and whomever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end when a progressive young minister arrives. Now, the fiery candlemaker must fight to preserve the legacy of the Christmas Candle. From bestselling author, Max Lucado.",51,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3064,The Capture,John Sturges,"Lew Ayres, Teresa Wright, Victor Jory, Duncan Renaldo, Jacqueline White",No Data,1970-01-01,1950,18+,102 min,Western,"Lin Vanner (Ayres) captures and turns in a fellow oil company employee whom he believes was behind a payroll robbery. The accused man dies in police custody, and Lin feels overwhelmingly responsible for the man's death, wondering if he was actually innocent of the crime. His guilt causes Lin to lose his job and his fiancee, and to soothe his conscience, Lin seeks out the dead man's widow, Evelyn (Wright). The two fall in love and marry without Evelyn ever knowing about Lin's past and feelings of guilt. When Lin discovers who really commited the robbery, he goes after the man, who dies accidentally in the ensuing chase. Lin is now accused of murdering the man, and must become a fugitive on the run. This is the lost masterpiece of director John Sturges.",43,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3065,The Bridgewater Triangle,"Aaron Cadieux, Manny Famolare","Loren Coleman, Jeff Belanger, Chris Balzano, John Brightman, Andrew Lake, Chris Pittman, Tim Weisberg",United States,1970-01-01,2013,13+,91 min,Special Interest,"""The Bridgewater Triangle"" hosts an unusually high volume of reports involving strange happenings, baffling mysteries and sinister deeds. From ghostly hauntings and cryptid animal sightings, to UFO encounters and evidence of satanic ritual sacrifice, this 200-square mile region in Southeastern Massachusetts serves as one of the world's most diverse and well-known hotspots for paranormal activity",40,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3066,The Boys of St. Vincent,John N. Smith,"Henry Czerny, Johnny Morina, Brian Dooley, Philip Dinn",No Data,1970-01-01,1992,16+,93 min,Drama,"This realistic dramatization follows the desperate struggle by young residents of a Roman Catholic orphanage to escape their nightmare of physical and sexual abuse. Their cries for help go unheeded, although a concerned janitor and a no-nonsense cop wage a personal crusade to uncover the terrible truth, and end the suffering.",77,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3068,The Black Candle,Roy Battersby,"Samantha Bond, Nathaniel Parker, Robert Hines, Tara Fitzgerald, James Gaddas, Cathy Sandford",No Data,1970-01-01,1991,16+,103 min,Drama,"Joe Skinner marries Lily Whitmore, to give a name to her illegitimate child by Lionel, the opportunistic son of an impoverished aristocrat. Lionel, however, has his sights set on Victoria, the cousin of hard-working Bridget Mordaunt. When Joe's brother Fred threatens his marriage plans, Lionel murders him and the blame falls on Joe.",44,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
3069,The Big Cat,Phil Karlson,"Lon McCallister, Peggy Ann Garner, Preston Foster, Forrest Tucker",No Data,1970-01-01,1949,18+,77 min,"Action, Drama","The story of the struggle for survival of a few inhabitants in the ""high country"" of Utah in 1933, during the worst draught they have ever known in the Great Depression. City boy Danny arrives at his Uncle Gil's ranch to help the family out. Although lacking in ranch hand skills, the boy manages to save his uncle's life when a ""Big Cat"" (a cougar) comes onto the ranch, desperate for the water it needs to survive. A local backwoodsman spends the film trying to track and kill the cougar before it kills a human, and a romance blooms between two young locals. A beautifully filmed outdoor drama.",40,0,0,1,0,1970-01-01,1970-01-01,1970-01-01
