title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
Clear and Present Danger,Phillip Noyce,male,Paramount Pictures,tt0109444,6.9/10,Clear and Present Danger,1994-08-03,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer",USA,"English, Spanish",PG-13,6.9,99286.0,74.0,"$62,000,000 (estimated)","$215,887,717","colombian drug cartel,drug cartel,corrupt politician,rescue mission,jack ryan character","Nominated for 2 Oscars, 3 wins & 11 nominations total"
Cliffhanger,Renny Harlin,male,InterCom,tt0106582,67%,Cliffhanger,1993-05-28,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker","USA, Italy, France, Japan",English,R,6.5,129682.0,60.0,"$70,000,000 (estimated)","$255,000,211","rock climbing,avalanche,snowstorm,search and rescue,guilt","Nominated for 3 Oscars, 1 win & 12 nominations total"
Cold Mountain,Anthony Minghella,male,Miramax,tt0159365,6.7/10,Cold Mountain,2003-12-25,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger","USA, Italy, Romania, UK",English,R,7.2,148842.0,73.0,"$79,000,000 (estimated)","$173,013,509","1860s,cold mountain north carolina,year 1864,nonlinear timeline,based on novel","Won 1 Oscar, 20 wins & 101 nominations total"
Crocodile Dundee in Los Angeles,Simon Wincer,male,iTunes,tt0231402,3.6/10,Crocodile Dundee in Los Angeles,2001-04-20,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns","Australia, USA",English,PG,4.8,25035.0,37.0,"$21,150,000 (estimated)","$39,438,674","beverly hills california,los angeles california,hollywood california,film studio,movie studio","Awards, 1 win & 2 nominations"
Dear John,Lars-Magnus Lindgren,male,Netflix,tt0989757,4.4/10,Dear John,2010-02-05,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins",USA,English,PG-13,6.3,148903.0,43.0,"$25,000,000 (estimated)","$114,984,666","love letter,u.s. army,army,coin collector,surfboard","Awards, 4 wins & 8 nominations"
Do the Right Thing,Spike Lee,male,Universal Pictures,tt0097216,9.1/10,Do the Right Thing,1989-07-21,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee",USA,"English, Italian, Spanish, Korean",R,7.9,101841.0,93.0,"$6,500,000 (estimated)","$37,295,445","pizzeria,bedford stuyvesant brooklyn new york city,police,pizza,boycott","Nominated for 2 Oscars, 21 wins & 17 nominations total"
Extraction,Steven C. Miller,male,Lionsgate Premiere,tt4382872,3.5/10,Extraction,2015-12-18,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano","USA, UK, Canada",English,R,4.1,11376.0,25.0,"$12,000,000 (estimated)","$710,636","united states of america,car,automobile,ford,ford mustang",
Freedom Writers,Richard LaGravenese,male,Paramount Pictures,tt0463998,6.3/10,Freedom Writers,2007-01-05,Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey","Germany, USA","English, Spanish",PG-13,7.6,78647.0,64.0,"$21,000,000 (estimated)","$43,095,175","based on real person,teacher,racism,1990s,f rated","Awards, 2 wins & 1 nomination"
Green Lantern,Martin Campbell,male,Netflix,tt1133985,26%,Green Lantern,2011-06-17,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard",USA,English,PG-13,5.5,284421.0,39.0,"$200,000,000 (estimated)","$219,851,172","comicbook movie,superhero action,ring,spacecraft,alien","Awards, 3 wins & 6 nominations"
House Party,Reginald Hudlin,male,Columbia Pictures,tt0099800,7/10,House Party,1990-03-09,Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin",USA,English,R,6.4,15070.0,76.0,"$2,500,000 (estimated)","$26,385,627","party,police,teen movie,father son relationship,african american","Awards, 2 wins & 10 nominations"
House Party 2,Doug McHenry,male,New Line Cinema,tt0102065,4.5/10,House Party 2,1991-10-23,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence",USA,English,R,5.2,6632.0,,"$5,000,000 (estimated)","$19,438,638","beach party,teensploitation,party,money,college",
House Party 3,,,New Line Cinema,tt0110064,0%,House Party 3,1994-01-12,Eric Meza,"Christopher Reid, Christopher Martin, David Edwards",USA,English,R,4.6,5312.0,,,"$19,281,235","beach party,teensploitation,party,house party,bachelor party",
I Got the Hook Up,Michael Martin,male,Miramax,tt0131436,3.3/10,I Got the Hook Up,1998-05-27,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer",USA,English,R,4.0,2292.0,,"$3,500,000 (estimated)","$10,317,779","fbi federal bureau of investigation,face mask,profanity,female frontal nudity,gangster",
In Too Deep,Michael Rymer,male,,tt0099834,,,,,,,,,,,,,,,
Initial D,Andrew Lau,male,Paris Filmes,tt0439630,4.1/10,Initial D,2005-06-23,"Andrew Lau, Alan Mak, Ralph Rieckermann","Jay Chou, Anthony Chau-Sang Wong, Edison Chen","China, Hong Kong","Cantonese, English",TV-PG,6.3,8766.0,48.0,"$12,000,000 (estimated)","$10,793,051","live action remake of anime,racing,drama competition,timeframe 2000s,timeframe 21st century","Awards, 12 wins & 18 nominations"
Janoskians: Untold and Untrue,Brett Weiner,,Netflix,tt4841640,,,,,,,,,,,,,,,
Labyrinth,András Kovács,male,MOKÉP,tt0091369,75%,Labyrinth,1986-06-27,Jim Henson,"David Bowie, Jennifer Connelly, Toby Froud","UK, USA",English,PG,7.3,136182.0,50.0,"$25,000,000 (estimated)","$13,915,874","baby,goblin king,labyrinth,rescue,fantasy world","Nominated for 1 BAFTA Award, 4 nominations total"
Letters to Juliet,Gary Winick,male,Summit Entertainment,tt0892318,5.2/10,Letters to Juliet,2010-05-14,Gary Winick,"Amanda Seyfried, Gael García Bernal, Vanessa Redgrave",USA,"English, Italian, Spanish",PG,6.5,100104.0,50.0,"$30,000,000 (estimated)","$79,628,830","writer,starring real life couple,vineyard,verona italy,female protagonist","Awards, 6 nominations"
Level 16,Danishka Esterhazy,female,Markham Street Films,tt4006302,83%,Level 16,2019-05-27,Danishka Esterhazy,"Katie Douglas, Celina Martin, Sara Canning",Canada,"English, Russian",Not Rated,6.0,11906.0,46.0,,"$15,575","title directed by female,obedience,security guard,punishment,f rated","Awards, 3 wins"
Love Don't Cost a Thing,Troy Beyer,female,Warner Bros.,tt0337592,3.7/10,Love Don't Cost a Thing,2003-12-12,Troy Byer,"Nick Cannon, Christina Milian, Jordan Burg",USA,English,PG-13,5.2,8840.0,37.0,,"$21,964,072","remake,daydreaming,pervert,jealousy,popularity","Awards, 6 nominations"
Love in a Puff,Pang Ho-cheung,male,Media Asia Entertainment Group,tt1602479,,Love in a Puff,2010-03-25,Ho-Cheung Pang,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto",Hong Kong,Cantonese,,7.1,2654.0,,,"$857,176","cigarette,smoke,interview,abstinence,love","Awards, 4 wins & 13 nominations"
Mars Attacks!,Tim Burton,male,Warner Bros.,tt0116996,6/10,Mars Attacks!,1996-12-13,Tim Burton,"Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker",USA,"English, French",PG-13,6.4,226483.0,52.0,"$70,000,000 (estimated)","$101,381,197","parody,b movie,dark comedy,political satire,retrofuturism","Awards, 3 wins & 19 nominations"
Marshall,Reginald Hudlin,male,Hulu,tt5301662,6.7/10,Marshall,2017-10-13,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson","USA, China, Hong Kong",English,PG-13,7.2,24285.0,66.0,"$12,000,000 (estimated)","$10,116,816","1940s,lawyer,attorney,african american,judge","Nominated for 1 Oscar, 4 wins & 21 nominations total"
