title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
Barsaat,Raj Kapoor,male,Netflix,tt0041161,,,,,,,,,,,,,,,
BASEketball,David Zucker,male,Universal Pictures,tt0131857,5.3/10,BASEketball,1998-07-31,David Zucker,"Trey Parker, Matt Stone, Dian Bachar",USA,English,R,6.5,62231.0,38.0,"$25,000,000 (estimated)","$7,027,290","basketball sport,baseball,basketball,sports team,older man younger woman marriage","Awards, 2 nominations"
Basic Instinct,Paul Verhoeven,male,Netflix,tt0103772,6.1/10,Basic Instinct,1992-03-20,Paul Verhoeven,"Michael Douglas, Sharon Stone, George Dzundza","USA, France",English,R,7.0,198906.0,41.0,"$49,000,000 (estimated)","$352,927,224","erotic thriller,manipulation,female psychopath,mind game,narcissistic personality disorder","Nominated for 2 Oscars, 5 wins & 23 nominations total"
Bathtubs Over Broadway,,,iTunes,tt6029778,100%,Bathtubs Over Broadway,2018-04-21,Dava Whisenant,"David Letterman, Martin Short, Chita Rivera",USA,English,PG-13,7.6,1110.0,78.0,,,entertainment,"Awards, 13 wins & 13 nominations"
Bawarchi,Hrishikesh Mukherjee,male,Netflix,tt0068257,,Bawarchi,1972-07-07,Hrishikesh Mukherjee,"Rajesh Khanna, Jaya Bachchan, Usha Kiran",India,Hindi,Not Rated,8.1,4076.0,,,,"cook,argument,dysfunctional family,wrestling,truth","Awards, 2 wins"
Bazaar,Sagar Sarhadi,male,,tt0154209,,,,,,,,,,,,,,,
Be Here Now,Lilibet Foster,female,,tt3538798,,,,,,,,,,,,,,,
Be Somebody,Joshua Caldwell,male,Paramount Pictures,tt5512872,,Be Somebody,2016-06-10,Joshua Caldwell,"Matthew Espinosa, Sarah Jeffery, Allison Paige",USA,English,PG,5.6,4026.0,,,"$15,395","woman wears a gas mask,pop star as protagonist,17 year old teenage boy,mother son relationship,parents daughter relationship",
Beavis and Butt-head Do America,Mike Judge,male,Paramount Pictures,tt0115641,6.4/10,Beavis and Butt-Head Do America,1996-12-20,"Mike Judge, Mike de Seve, Brian Mulroney","Mike Judge, Bruce Willis, Demi Moore",USA,"English, Spanish, Hindi",PG-13,6.8,57274.0,64.0,"$12,000,000 (estimated)","$63,118,386","violence,old woman,elderly woman,beavis and butt head,country name in title","Awards, 1 win & 4 nominations"
Becoming Jane,Julian Jarrold,male,Netflix,tt0416508,6/10,Becoming Jane,2007-08-10,Julian Jarrold,"Anne Hathaway, James McAvoy, Julie Walters","UK, Ireland",English,PG,7.0,61925.0,55.0,"$16,500,000 (estimated)","$37,407,812","cricket the sport,deaf mute,jane austen character,reference to tom jones the novel,english country dance","Awards, 3 wins & 6 nominations"
Before the Flood,Fisher Stevens,male,National Geographic Channel,tt5929776,75%,Before the Flood,2016-10-30,Fisher Stevens,"Leonardo DiCaprio, Ban Ki-moon, Alejandro G. Iñárritu",USA,English,PG,8.2,27860.0,63.0,,$988,"climate change,environment,ecosystem,solar energy,solar panel","Awards, 2 wins & 8 nominations"
Behind the Curtain: Todrick Hall,Katherine Fairfax Wright,female,Netflix,tt6171960,,Behind the Curtain: Todrick Hall,2017-12-12,Katherine Fairfax Wright,"Wayne Brady, Brittanie Brant, Blair Carrizales",USA,English,,6.8,311.0,,,,,"Awards, 1 win & 1 nomination"
Beiimaan Love,,,Netflix,tt5227468,0,Mosamain Kadal,2016-10-14,Rajeev Chaudhari,"Sunny Leone, Rajneesh Duggal, Daniel Weber",India,"Hindi, English",,2.9,511.0,,,,revenge,
Being AP,Anthony Wonke,male,Netflix,tt3916100,100%,Being AP,2015-11-23,Anthony Wonke,Tony McCoy,"UK, Ireland",English,,6.5,328.0,,,"$76,196","northern irish man,jockey,steeplechase,horse race,champion","Awards, 1 nomination"
Below Her Mouth,April Mullen,female,Netflix,tt5073620,4.5/10,Below Her Mouth,2017-04-28,April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott",Canada,English,Not Rated,5.5,12418.0,42.0,,"$33,673","female nudity,unsimulated sex,lesbian sex,lesbian,female masturbation","Awards, 1 nomination"
Beneath the Leaves,,,Reel Fire Entertainment,tt4574654,20%,Beneath the Leaves,2019-02-08,Adam Marino,"Mira Sorvino, Kristoffer Polaha, Doug Jones",USA,English,TV-MA,4.5,1537.0,,,,"boy,co written by director,escaped psychopath,child kidnapping,police detective",
Berlin Kaplani,Hakan Algül,male,Netflix,tt2142711,,Berlin Kaplani,2012-01-27,Hakan Algül,"Ata Demirer, Tarik Ünlüoglu, Necati Bilgiç",Turkey,"Turkish, German",,5.2,6912.0,,,"$11,842,023","love,turkey,turk,boxer,rafting","Awards, 1 win & 1 nomination"
Betting on Zero,Ted Braun,male,Netflix,tt3762912,100%,,,,,,,,,,,,,,
Bewafaa,Dharmesh Darshan,male,Netflix,tt0363472,,Bewafaa,2005-02-25,Dharmesh Darshan,"Anil Kapoor, Akshay Kumar, Kareena Kapoor",India,Hindi,,4.1,2537.0,,"₹120,000,000 (estimated)","$1,258,036","twin,india,canada,musician,widower","Awards, 1 nomination"
Beyond All Boundaries,,,,tt2428368,,,,,,,,,,,,,,,
Beyond the Clouds,Majid Majidi,male,Netflix,tt3224288,6.1/10,,,,,,,,,,,,,,
Bhagam Bhag,Priyadarshan,male,K. Sera Sera,tt0805184,,Bhagam Bhag,2006-12-22,Priyadarshan,"Akshay Kumar, Govinda, Paresh Rawal",India,Hindi,Not Rated,6.5,13414.0,,,"$14,730,896","slapstick comedy,heroine,theatre group,theatre group owner,theater actress",
Bhool Bhulaiyaa,Priyadarshan,male,Netflix,tt0995031,4/10,Bhool Bhulaiyaa,2007-10-12,Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja",India,"Hindi, Bengali",Not Rated,7.4,28418.0,,,"$19,073,095","key,mansion,superstition,supernatural power,ritual","Awards, 1 win & 14 nominations"
Bhoot,Ram Gopal Varma,male,"Dream Merchants Enterprise, Varma Corporation",tt0341266,71,Bhoot,2003-05-30,Ram Gopal Varma,"Ajay Devgn, Urmila Matondkar, Nana Patekar",India,Hindi,,6.4,3725.0,,,"$3,660,402","supernatural horror,building,apartment,watchman,death","Awards, 13 wins & 14 nominations"
Bhouri,,,,tt5978194,,,,,,,,,,,,,,,
Big Daddy,Dennis Dugan,male,Netflix,tt0142342,5/10,Big Daddy,1999-06-25,Dennis Dugan,"Adam Sandler, Joey Lauren Adams, Jon Stewart",USA,"English, Italian",PG-13,6.4,216498.0,41.0,"$34,200,000 (estimated)","$234,801,895","new york city,adoption,responsibility,immaturity,homosexual","Awards, 8 wins & 14 nominations"
Big Fat Liar,Shawn Levy,male,Universal Pictures,tt0265298,5/10,Big Fat Liar,2002-02-08,Shawn Levy,"Frankie Muniz, Amanda Bynes, Paul Giamatti","USA, Germany, France",English,PG,5.5,37488.0,36.0,"$15,000,000 (estimated)","$52,970,014","liar,hollywood,boy who cried wolf,blue skin,plagiarism","Awards, 1 win & 3 nominations"
Big Time,Kenneth Hawks,male,,tt0019693,,,,,,,,,,,,,,,
Bigger Fatter Liar,,,"Universal 1440 Entertainment, Capital Arts Entertainment",tt5846744,,Bigger Fatter Liar,2017-04-18,Ron Oliver,"Barry Bostwick, Ricky Garcia, Jodelle Ferland",USA,English,PG,4.0,949.0,,,,"sequel,second part,plagiarism,never give up,lie as an excuse","Awards, 1 win & 1 nomination"
Biggie & Tupac,Nick Broomfield,male,Netflix,tt0303356,6.6/10,Biggie & Tupac,2002-05-24,Nick Broomfield,"The Notorious B.I.G., Tupac Shakur, Nick Broomfield",UK,English,R,6.7,4867.0,63.0,,"$146,419","character names as title,timeframe 1990s,east coast vs. west coast,east coast of the united states,west coast of the united states","Awards, 1 nomination"
Billy Elliot,Stephen Daldry,male,Universal Pictures,tt0249462,7.3/10,Billy Elliot,2000-11-10,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood","UK, France",English,R,7.7,134759.0,74.0,"$5,000,000 (estimated)","$109,283,018","ballet,miner,ballet dancing,audition,gay friend","Nominated for 3 Oscars, 57 wins & 73 nominations total"
Bilu Rakkhosh,Indrasis Acharya,male,,tt5940384,,Bilu: A demon within,,Indrasis Acharya,"Anirban Banerjee, Anjishnu Banerjee, Koneenica Banerjee",India,Bengali,,7.1,249.0,,,,passion,"Awards, 2 nominations"
Bioscope,K. M. Madhusudhanan,male,Netflix,tt1549829,,,,,,,,,,,,,,,
Birthmarked,Emanuel Hoss-Desmarais,male,Netflix,tt4702826,4.8/10,Birthmarked,2018-03-30,Emanuel Hoss-Desmarais,"Matthew Goode, Toni Collette, Andreas Apergis",Canada,English,,5.7,3494.0,44.0,,,"genetic,education,experiment,parenting,child raising","Awards, 3 wins & 3 nominations"
Bitch,Marianna Palka,female,MPI Media Group,tt6069264,67%,Bitch,2017-11-10,Marianna Palka,"Jason Ritter, Jaime King, Marianna Palka",USA,English,R,5.1,1897.0,55.0,,$688,"bizarre,shocking,tank top,one word title,title directed by female","Awards, 1 win & 1 nomination"
Bittoo Boss,,,Viacom 18 Motion Pictures,tt2347289,,Bittoo Boss,2012-04-13,Supavitra Babul,"Pulkit Samrat, Rajesh Bakshi, Ujjwal Chopra",India,Hindi,Not Rated,4.1,388.0,,,,,
Black Hawk Down,Ridley Scott,male,Columbia Pictures,tt0265086,7/10,Black Hawk Down,2002-01-18,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore","USA, UK","English, Somali, Arabic",R,7.7,393965.0,74.0,"$92,000,000 (estimated)","$172,989,651","somalia,u.s. army,gunfight,peacekeeper,chaos","Won 2 Oscars, 11 wins & 37 nominations total"
Black Panther,Ryan Coogler,male,,,,,,,,,,,,,,,,,
Black Site Delta,,,Netflix,tt5667516,,Black Site Delta,2017-05-05,Jesse Gustafson,"Cam Gigandet, Teri Reeves, Sherri Eakin",USA,English,,3.8,1035.0,,,,"black site,three word title,f word,father daughter estrangement,reluctant hero",
Black Snake Moan,Craig Brewer,male,Paramount Vantage,tt0462200,6.4/10,Black Snake Moan,2007-03-02,Craig Brewer,"Christina Ricci, Samuel L. Jackson, Justin Timberlake",USA,English,R,6.9,63764.0,52.0,"$15,000,000 (estimated)","$10,907,485","nymphomaniac,sex scene,unfaithful girlfriend,chained up woman,musician","Awards, 1 win & 7 nominations"
Black Snow,Xie Fei,male,Netflix,tt5614612,63%,Black Snow,2017-06-10,Martín Hodara,"Ricardo Darín, Leonardo Sbaraglia, Laia Costa","Argentina, Spain",Spanish,,6.2,5786.0,,"$4,000,000 (estimated)","$4,758,401","cremated ashes,car stuck in snow,brother sister incest,telephone call,pregnancy","Awards, 1 win & 4 nominations"
Blackway,Daniel Alfredson,male,"Enderby Entertainment, Gotham Group",tt4061010,20%,Blackway,2016-06-10,Daniel Alfredson,"Anthony Hopkins, Julia Stiles, Ray Liotta",USA,English,R,5.3,9909.0,,"$8,000,000 (estimated)","$426,491","woman with a gun,pacific northwest,stalker,woman in jeopardy,rape threat",
Blaze,Ron Shelton,male,Netflix,tt0096943,6.3/10,,,,,,,,,,,,,,
Bleed for This,Ben Younger,male,Netflix,tt1620935,6.2/10,Bleed for This,2016-11-18,Ben Younger,"Miles Teller, Aaron Eckhart, Katey Sagal",USA,"English, French",R,6.8,27510.0,62.0,"$6,000,000 (estimated)","$6,698,679","boxing,comeback,broken neck,rhode island,las vegas","Awards, 1 win & 3 nominations"
Blockbuster,July Hygreck,female,Netflix,tt2463842,,,,,,,,,,,,,,,
Blood Father,Jean-François Richet,male,ADS Service,tt3647498,89%,Blood Father,2016-08-26,Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna",France,"English, Spanish",R,6.4,64471.0,66.0,"$13,000,000 (estimated)","$6,903,033","father daughter relationship,ex convict,on the run,teenage girl,ex con",
Blow,Ted Demme,male,New Line Cinema,tt0221027,5.8/10,Blow,2001-04-06,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente",USA,English,R,7.5,259627.0,52.0,"$53,000,000 (estimated)","$83,282,296","drug abuse,nosebleed,police officer,drug cartel,united states","Awards, 3 wins & 9 nominations"
Blue Jasmine,Woody Allen,male,Netflix,tt2334873,91%,Blue Jasmine,2013-08-23,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard",USA,English,PG-13,7.3,202511.0,78.0,"$18,000,000 (estimated)","$99,104,804","self deception,snob,talking to oneself,sister sister estrangement,riches to rags","Won 1 Oscar, 56 wins & 82 nominations total"
Blue Mountain State: The Rise of Thadland,Lev L. Spiro,male,Lionsgate,tt3748440,,Blue Mountain State: The Rise of Thadland,2016-02-02,Lev L. Spiro,"Alan Ritchson, Darin Brooks, James Cade",USA,English,R,5.7,15835.0,,"$3,000,000 (estimated)",,"male full frontal nudity,male pubic hair,pubic hair,bare chested male bondage,male rear nudity","Awards, 3 wins"
Blue Ruin,Jeremy Saulnier,male,Netflix,tt2359024,8/10,Blue Ruin,2014-07-09,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves","USA, France",English,R,7.1,73789.0,78.0,"$420,000 (estimated)","$993,313","crowdfunded,vengeance,neo noir,car,written by director","Awards, 7 wins & 20 nominations"
Blue Streak,Les Mayfield,male,Columbia Pictures,tt0181316,4.8/10,Blue Streak,1999-09-17,Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene","Germany, USA","English, Spanish",PG-13,6.3,83214.0,46.0,"$65,000,000 (estimated)","$117,758,500","fbi federal bureau of investigation,buddy comedy,cigarette,impostor,impersonator",
Blue Valentine,Derek Cianfrance,male,The Weinstein Company,tt1120985,86%,Blue Valentine,2011-01-28,Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman",USA,English,R,7.4,197001.0,81.0,"$1,000,000 (estimated)","$15,440,333","dysfunctional family,falling in love,unplanned pregnancy,motel room,dysfunctional marriage","Nominated for 1 Oscar, 9 wins & 56 nominations total"
Bob Lazar: Area 51 & Flying Saucers,Jeremy Kenyon Lockyer Corbell,male,Netflix,tt9107368,17,Bob Lazar: Area 51 & Flying Saucers,2018-12-04,Jeremy Kenyon Lockyer Corbell,"Bob Lazar, George Knapp, Jeremy Kenyon Lockyer Corbell",USA,English,Not Rated,5.6,6020.0,,,,"unidentified flying object,area 51,alien,flying saucer,spaceship",
Bobbi Jene,Elvira Lind,female,"French Quarter Film, Sonntag Pictures",tt6082630,5.9/10,Bobbi Jene,2017-10-06,Elvira Lind,"Laura Dern, Ohad Naharin, Or Schraiber","Denmark, Sweden, Norway, Israel, USA",English,,6.2,464.0,52.0,,"$18,579","female nudity,female full frontal nudity,public nudity,female artist,female dancer","Awards, 5 wins & 9 nominations"
Bobby,Emilio Estevez,male,Netflix,tt0308055,5.6/10,,,,,,,,,,,,,,
Bobby Robson: More Than a Manager,Gabriel Clarke,male,Netflix,tt6864864,100%,Bobby Robson: More Than a Manager,2018-06-01,"Gabriel Clarke, Torquil Jones","José Mourinho, Gary Lineker, Pep Guardiola",UK,English,,8.1,3094.0,,,"$33,374","1980s,1990s,retrospective,football manager,leadership","Awards, 1 win"
Bokeh,,,Netflix,tt3722062,5/10,Bokeh,2017-03-24,"Geoffrey Orthwein, Andrew Sullivan","Maika Monroe, Matt O'Leary, Arnar Jónsson","USA, Iceland",English,TV-MA,5.0,7492.0,56.0,,,"photography,loneliness,female nudity,skinny dipping,sex scene","Awards, 1 nomination"
Bolt,George Mendeluk,male,Netflix,tt0109314,,,,,,,,,,,,,,,
Bombshell: The Hedy Lamarr Story,Alexandra Dean,female,Reframed Pictures,tt6752848,7.4/10,Bombshell: The Hedy Lamarr Story,2018-03-08,Alexandra Dean,"Hedy Lamarr, Mel Brooks, Jennifer Hom",USA,"English, German, French",,7.3,3742.0,70.0,"$1,500,000 (estimated)","$1,092,941","movie star,inventor,electrical engineering,telecommunications,sex symbol","Awards, 8 wins & 6 nominations"
Bon Bini Holland,Jelle de Jonge,male,Netflix,tt4247144,,Bon Bini Holland,2015-12-10,Jelle de Jonge,"Jandino Asporaat, Sergio IJssel, Liliana de Vries",Netherlands,Dutch,,5.4,1350.0,,,"$4,920,623","hare krishna,wilhelm scream","Awards, 3 wins"
Bonnie and Clyde,Arthur Penn,male,Netflix,tt0061418,89%,Bonnie and Clyde,1967-08-14,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard",USA,English,R,7.7,112734.0,86.0,"$2,500,000 (estimated)",,"bank robber,1930s,gang,love,crime spree","Won 2 Oscars, 23 wins & 30 nominations total"
Boom,Andrea Zaccariello,male,,tt0168533,,,,,,,,,,,,,,,
Born Strong,,,Netflix,tt7582508,,Born Strong,2017-11-03,"Gary Cohen, Ross Hockrow","Eddie Hall, Hafþór Júlíus Björnsson, Brian Shaw",USA,English,TV-MA,7.1,1458.0,,,,"strong,weightlifting",
Born to Be Free,,,Netflix,tt6619064,,Born to Be Free,2017-07-18,Gayane Petrosyan,Manos Krystalis,"UK, Russia","English, Russian",,7.5,239.0,,,"$3,638",sea,"Awards, 1 win & 4 nominations"
Bottom of the World,,,Netflix,tt2337841,,Bottom of the World,2017-03-31,Richard Sears,"Jena Malone, Douglas Smith, Ted Levine","Canada, USA",English,Not Rated,5.1,5255.0,,,,"faith,disappearance,female nudity,sex scene,young adult",
Brampton's Own,,,,tt6185692,5.8/10,,,,,,,,,,,,,,
Brave New Jersey,,,Vudu,tt4660172,50,Brave New Jersey,2017-08-04,Jody Lambert,"Anna Camp, Tony Hale, Heather Burns",USA,English,TV-MA,5.2,568.0,45.0,,"$16,544","the war of the worlds radio broadcast,state name in title,territory name in title","Awards, 4 wins"
Breaking Free,David Mackay,male,,tt0112575,,,,,,,,,,,,,,,
Breath,Narges Abyar,female,Mikado Film,tt0901475,6/10,,,,,,,,,,,,,,
Brick,Rian Johnson,male,Focus Features,tt0393109,7/10,Brick,2006-04-14,Rian Johnson,"Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin",USA,English,R,7.2,105943.0,72.0,"$475,000 (estimated)","$3,947,579","neo noir,alley,cinderblock,neo noirish,hard boiled","Awards, 11 wins & 23 nominations"
Brooklyn's Finest,Antoine Fuqua,male,Overture Films,tt1210042,5.5/10,Brooklyn's Finest,2010-03-05,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke",USA,English,R,6.7,63919.0,43.0,"$17,000,000 (estimated)","$44,027,682","corrupt cop,catholic,new york city,police detective,police officer killed","Awards, 1 win & 10 nominations"
Buffalo Boys,Mike Wiluan,male,,tt2416144,,,,,,,,,,,,,,,
Bullitt County,David McCracken,male,Netflix,tt6140148,50%,Bullitt County,2018-10-26,David McCracken,"Mike C. Nelson, Jenni Melear, David McCracken",USA,English,,4.7,552.0,50.0,,"$11,257","party,timeframe 1970s","Awards, 8 wins & 5 nominations"
Burlesque,Steve Antin,male,Netflix,tt1126591,4.9/10,Burlesque,2010-11-24,Steve Antin,"Cher, Christina Aguilera, Alan Cumming",USA,English,PG-13,6.4,86023.0,47.0,"$55,000,000 (estimated)","$89,520,336","burlesque,homosexual subtext,female protagonist,backstage,rival","Awards, 6 wins & 21 nominations"
Burning,Barbara Sternberg,female,CJ CGV,tt7282468,95%,Burning,2018-05-17,Lee Chang-dong,"Yoo Ah-in, Steven Yeun, Jeon Jong-seo","South Korea, Japan","Korean, English",Not Rated,7.5,63847.0,90.0,,"$7,578,063","metaphor,class differences,aspiring writer,suspicion,reference to william faulkner","Awards, 59 wins & 147 nominations"
Bushwick,,,RLJE Films,tt4720702,5.5/10,Bushwick,2017-08-25,"Jonathan Milott, Cary Murnion","Dave Bautista, Brittany Snow, Angelic Zambrana",USA,English,TV-MA,5.2,11663.0,44.0,,"$79,888","new york city,long shot,grad student,subway,man on fire","Awards, 2 nominations"
Butterfield 8,Daniel Mann,male,Metro-Goldwyn-Mayer,tt0053622,47%,BUtterfield 8,1960-11-04,Daniel Mann,"Elizabeth Taylor, Laurence Harvey, Eddie Fisher",USA,English,Not Rated,6.3,6665.0,48.0,"$2,800,000 (estimated)",,"new york city,melodrama,based on novel,campy,car chase","Won 1 Oscar, 1 win & 6 nominations total"
Cabin Fever,Mona Hoel,female,IFC Films,tt3832096,0%,Cabin Fever,2016-04-21,Travis Zariwny,"Gage Golightly, Matthew Daddario, Samuel Davis",USA,English,R,3.7,10190.0,14.0,,"$114,835","remake,horror movie remake,flesh eating virus,female rear nudity,topless female nudity","Awards, 2 nominations"
Cake,Nisha Ganatra,female,Warner Bros.,tt3442006,5.8/10,,,,,,,,,,,,,,
Calendar Girls,Nigel Cole,male,Netflix,tt4897908,3.5/10,Calendar Girls,2015-09-25,Madhur Bhandarkar,"Akanksha Puri, Avani Modi, Kyra Dutt",India,Hindi,Not Rated,4.2,913.0,,,"$743,799","modeling,escort,fashion model,calendar photoshoot,calendar girl",
Camera Store,,,,tt4651666,,,,,,,,,,,,,,,
Camp X-Ray,Peter Sattler,male,IFC Films,tt2994190,75%,Camp X-Ray,2014-10-17,Peter Sattler,"Kristen Stewart, Payman Maadi, Lane Garrison",USA,English,R,6.9,41493.0,54.0,"$1,000,000 (estimated)","$79,624","guantanamo bay,female protagonist,unlikely friendship,covered in feces,reference to harry potter","Awards, 6 nominations"
Can't Hardly Wait,Deborah Kaplan,female,Columbia Pictures,tt0127723,41%,Can't Hardly Wait,1998-06-12,"Harry Elfont, Deborah Kaplan","Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo",USA,English,PG-13,6.5,50267.0,52.0,"$10,000,000 (estimated)","$25,605,015","party,unspoken love,coming of age,teenager,house party","Awards, 2 nominations"
Candyman,Nia DaCosta,female,TriStar Pictures,tt0103919,6.6/10,Candyman,1992-10-16,Bernard Rose,"Virginia Madsen, Xander Berkeley, Tony Todd","USA, UK",English,R,6.7,90238.0,61.0,"$6,000,000 (estimated)","$25,795,897","baby,legend,mirror,urban legend,urban decay","Awards, 5 wins & 10 nominations"
Cappuccino,,,,tt0097012,,,,,,,,,,,,,,,
Cardboard Gangsters,Mark O'Connor,male,,tt5156274,6.7/10,,,,,,,,,,,,,,
Caregiver,Chito S. Roño,male,Star Cinema,tt1233519,,Caregiver,2008-05-28,Chito S. Roño,"Sharon Cuneta, John Estrada, Rica Peralejo",Philippines,"Filipino, Tagalog, English",,6.3,178.0,,,"$3,108,225","caregiver,nurse,english teacher,teacher,london england","Awards, 2 wins & 29 nominations"
Carol,Todd Haynes,male,Netflix,tt2402927,94%,Carol,2016-01-15,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson","UK, USA, Australia",English,R,7.2,128883.0,94.0,"$11,800,000 (estimated)","$40,272,135","lesbian romance,lesbian,road trip,child custody,photographer","Nominated for 6 Oscars, 77 wins & 254 nominations total"
Carrie,Kimberly Peirce,female,Paramount Pictures,tt0044486,7.3/10,,,,,,,,,,,,,,
Carriers,David Pastor,male,Paramount Vantage,tt0806203,5.8/10,Carriers,2009-09-02,"David Pastor, Àlex Pastor","Chris Pine, Piper Perabo, Lou Taylor Pucci",USA,English,PG-13,6.0,47358.0,,,"$5,805,279","post apocalypse,closing monologue,covered with cockroaches,bloody face,brassiere","Awards, 1 nomination"
Casino Royale,Val Guest,male,Columbia Pictures,tt0061452,4.7/10,,,,,,,,,,,,,,
Casino Tycoon,Wong Jing,male,Netflix,tt0104145,,Casino Tycoon,1992-02-20,Jing Wong,"Andy Lau, Chingmy Yau, Alex Man",Hong Kong,Cantonese,,5.9,420.0,,"HK$18,611,389 (estimated)",,casino,"Awards, 1 nomination"
Casino Tycoon 2,Wong Jing,male,Netflix,tt0104146,,Casino Tycoon II,1992-08-20,Jing Wong,"Andy Lau, Chingmy Yau, Michelle Reis",Hong Kong,Cantonese,,5.5,291.0,,,,suspense,
Cat on a Hot Tin Roof,Richard Brooks,male,Metro-Goldwyn-Mayer,tt0051459,97,Cat on a Hot Tin Roof,1958-08-29,Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives",USA,English,Not Rated,7.9,49535.0,84.0,"$3,000,000 (estimated)",,"southern gothic,husband wife relationship,based on play,alcohol consumption,drunk","Nominated for 6 Oscars, 3 wins & 16 nominations total"
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,male,Netflix,tt1287468,3.8/10,Cats & Dogs: The Revenge of Kitty Galore,2010-07-30,Brad Peyton,"Bette Midler, Chris O'Donnell, Jack McBrayer","USA, Australia",English,PG,4.3,15288.0,30.0,"$85,000,000 (estimated)","$112,483,764","talking animal,talking dog,sequel,dog,cat","Awards, 1 win & 3 nominations"
Cave,Henrik Martin Dahlsbakken,male,,tt1303758,,,,,,,,,,,,,,,
Celluloid Man,Shivendra Singh Dungarpur,male,Netflix,tt2190196,,Celluloid Man,,Shivendra Singh Dungarpur,"U.R. Ananthamurthy, G. Ananthappa, Beena Antony",India,"English, Hindi, Bengali, Kannada, Malayalam, Japanese, French",,7.7,180.0,,,,"movie theater,film restoration,film preservation,film projector,film archives",
Center Stage,Nicholas Hytner,male,Netflix,tt0210616,5.1/10,Center Stage,2000-05-12,Nicholas Hytner,"Amanda Schull, Ethan Stiefel, Sascha Radetsky",USA,English,PG-13,6.6,21639.0,52.0,"$29,000,000 (estimated)","$26,385,941","gay,homosexual,ballet,lincoln center for the performing arts,dance academy","Awards, 1 nomination"
Chal Dhar Pakad,,,Shubham Cine Vision,tt3360280,,Chal Dhar Pakad,2010-12-06,Aatmaram Dharne,"Nirmiti Sawant, Nagesh Bhonsle, Bharat Ganeshpure",India,Marathi,Not Rated,4.0,8.0,,"₹10,000,000 (estimated)",,fight,
Chal Mere Bhai,David Dhawan,male,Netflix,tt0245825,,Chal Mere Bhai,2000-05-05,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor",India,Hindi,,4.7,3386.0,,,"$199,227","title sung by character,brother brother relationship,song during opening credits,love triangle,uncle niece relationship",
Chalay Thay Saath,,,Netflix,tt5615406,,Chalay Thay Sath,2017-04-21,Umer Adil,"Syra Shehroz, Kent S. Leung, Mansha Pasha",Pakistan,Urdu,,6.4,359.0,,,,doctor,"Awards, 1 nomination"
Change in the Air,,,"Red Square Pictures, M.Y.R.A. Entertainment",tt5013782,3.4/10,Change in the Air,2018-10-19,Dianne Dreyer,"Rachel Brosnahan, Aidan Quinn, Seth Gilliam",USA,English,PG,5.7,678.0,26.0,,,"faith,cross generational,ornithology,four word title,secret",
Chappaquiddick,John Curran,male,Entertainment Studios,tt5270948,7/10,Chappaquiddick,2018-04-06,John Curran,"Jason Clarke, Kate Mara, Ed Helms","USA, Sweden",English,PG-13,6.4,13537.0,67.0,"$13,000,000 (estimated)","$18,263,470","one word title,senator,scandal,car accident,car in water","Awards, 7 nominations"
Charlie and the Chocolate Factory,Tim Burton,male,Netflix,tt0367594,83%,Charlie and the Chocolate Factory,2005-07-15,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly","USA, UK",English,PG,6.7,474129.0,72.0,"$150,000,000 (estimated)","$474,968,763","caterpillar,cannibalism,psychotherapy,chocolate factory,chocolate","Nominated for 1 Oscar, 15 wins & 52 nominations total"
Charlie's Angels: Full Throttle,McG,male,Columbia Pictures,tt0305357,5.1/10,Charlie's Angels: Full Throttle,2003-06-27,McG,"Drew Barrymore, Lucy Liu, Cameron Diaz",USA,"English, Mandarin, Spanish",PG-13,4.9,127932.0,48.0,"$120,000,000 (estimated)","$259,175,788","2000s,ensemble cast,violence,cult film,exploding car","Awards, 9 wins & 21 nominations"
Charlotte's Web,Gary Winick,male,UIP-Dunafilm,tt0413895,7/10,,,,,,,,,,,,,,
Chashme Buddoor,Sai Paranjpye,female,Netflix,tt0082162,,,,,,,,,,,,,,,
