id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt3543006,The World Wars,no_data,no_data,History,,The World Wars,2014-05-26,,"Maximilian Klas, Ian Beyts, Jacopo Rampini",USA,English,TV-14,7.9,2294,,,"history documentary,military and war documentary,world war one,world war two,reenactment","Nominated for 3 Primetime Emmys, 1 win & 4 nominations total",2014.0
tt8871128,The Wolf,no_data,no_data,"New Classics Media, Shanghai Youhug Media Co.",,The Wolf,2020-11-19,,"Talu Wang, Qin Li, Zhan Xiao",China,Chinese,,7.8,3122,,,"love triangle,kiss,self sacrifice,orphan,prince","Awards, 1 nomination",2020.0
tt8633062,The Wilds,no_data,no_data,Amazon Prime Video,88,The Wilds,2020-12-11,,"Rachel Griffiths, Sophia Ali, Shannon Berry",USA,English,TV-14,7.2,21200,,,"group of teenagers,survival,island,teen drama,survival adventure","Awards, 1 win & 2 nominations",2020.0
tt2766052,The Vineyard,no_data,no_data,Freeform,,The Vineyard,2013-07-23,,"Daniel Lipshutz, Jaclyn Lyons, Jon Franco",USA,English,,2.9,484,,,friend,,2013.0
tt2711738,The Tunnel,Dominik Moll,male,Canal+,91,The Tunnel,2013-10-16,,"Stephen Dillane, Clémence Poésy, Cédric Vieira","UK, France","English, French",TV-MA,7.8,9223,,,"french british relations,british french relations,british french conflict,male female police partnership,bilingual","Awards, 8 wins & 7 nominations",2013.0
tt5540054,The Tick,Wally Pfister,male,Amazon Prime Video,95,The Tick,2016-08-15,,"Peter Serafinowicz, Griffin Newman, Valorie Curry",USA,English,TV-MA,7.4,18331,,,"superhero,parody,accountant,brother sister relationship,columbia tristar","Nominated for 2 Primetime Emmys, 4 nominations total",2016.0
tt8439492,The Tesla Files,no_data,no_data,Prometheus Entertainment,,The Tesla Files,2018-05-04,,"Jonathan Adams, Travis Taylor, Jason Stapleton",USA,English,,7,393,,,"historical mystery,nikola tesla,urban legend,missing file,science experiment",,2018.0
tt0485071,The Surgeon,no_data,no_data,Network 10,,The Surgeon,2005-10-13,,"Justine Clarke, Sam Worthington, Nicholas Bell",Australia,English,,7.6,82,,,"surgical scrubs,caucasian,latex gloves,surgical mask,surgeon","Awards, 1 win & 4 nominations",2005.0
tt1496454,The Snow Queen,Lee Hyung-min,male,KBS2,,Snezhnaya koroleva,2007-11-15,Elena Rayskaya,"Agnese Zeltina, Marat Basharov, Yana Rayskaya",Russia,Russian,,6.8,58,,,f rated,,2007.0
tt3143398,The Smoke,no_data,no_data,Sky One,,The Smoke,2014-02-20,,"Jamie Bamber, Taron Egerton, Gerard Kearns",UK,English,,6.9,996,,,tv mini series,"Awards, 2 wins",2014.0
tt0289825,The Secret Life of Us,no_data,no_data,Network 10,,The Secret Life of Us,2001-07-16,,"Deborah Mailman, David Tredinnick, Samuel Johnson",Australia,English,,7.5,1340,,,"female rear nudity,female nudity,shower,flatmate,bisexual","Awards, 13 wins & 22 nominations",2001.0
tt0129711,The Royle Family,no_data,no_data,BBC Two,,The Royle Family,1998-09-14,,"Ricky Tomlinson, Sue Johnston, Caroline Aherne",UK,English,,8.2,7936,,,"northern england,written by co star,british comedy,father daughter relationship,father son relationship","Won 4 BAFTA Awards, 23 wins & 14 nominations total",1998.0
tt3597912,The Royals,Tom Vaughan,male,E!,79,The Royals,2015-03-15,,"Joan Collins, William Moseley, Alexandra Park","UK, USA",English,TV-14,7.4,13038,,,"timeframe 21st century,king,prince,royal family,london england","Awards, 3 nominations",2015.0
tt6599482,The Romanoffs,Matthew Weiner,male,Amazon Prime Video,49,The Romanoffs,2018-10-12,,"Diane Lane, JJ Feild, Aaron Eckhart",USA,"English, French",TV-MA,6.9,5950,,,"russian royalty,russian monarchy,topless female nudity,female full frontal nudity,royalty","Awards, 2 wins & 6 nominations",2018.0
no_data,The Remix,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt3893044,The Passing Bells,no_data,no_data,BBC One,,The Passing Bells,2014-11-03,,"Patrick Gibson, Jack Lowden, Hubert Burton","UK, Poland",English,TV-14,6.8,1157,,,"world war one,trench warfare,barbed wire,world war one soldier,military uniform",,2014.0
tt9100346,The Paradise,Marja Pyykkö,female,Yle Areena,,The Paradise,2020-02-07,,"Riitta Havukainen, Fran Perea, María Romero","Finland, Spain","Finnish, Spanish, English",,7,430,,,"murder,nordic noir,finnish detective,brutal murder,spain","Awards, 1 win & 2 nominations",2020.0
tt0386676,The Office,Randall Einhorn,male,NBC,81,The Office,2005-03-24,,"Steve Carell, Jenna Fischer, John Krasinski",USA,English,TV-14,9,571072,,,"office,mockumentary,cringe comedy,job,sitcom","Top rated TV #27 | Won 5 Primetime Emmys, 51 wins & 195 nominations total",2005.0
tt4115864,The New Yorker Presents,no_data,no_data,Amazon Prime Video,86,The New Yorker Presents,2015-01-15,,"Farley Katz, Roz Chast, Liana Finck",USA,English,M,6.6,432,,,,,2015.0
tt1719950,The Nativity,Coky Giedroyc,female,"Red Planet Pictures, K Films, Temple Street Productions",,The Nativity,2010-12-20,,"Andrew Buchan, Peter Capaldi, Al Weaver","UK, Canada",English,,7.6,312,,,"year 1 b.c.,1st century b.c.,tv mini series","Awards, 2 wins & 4 nominations",2010.0
tt2733252,The Musketeers,Udayan Prasad,male,BBC One,67,The Musketeers,2014-06-22,,"Luke Pasqualino, Tom Burke, Santiago Cabrera",UK,English,TV-14,7.8,22309,,,"historical fiction,leather,leather pants,leather jacket,french king","Awards, 1 win",2014.0
tt7293016,The Murder of Laci Peterson,no_data,no_data,A&E,,The Murder of Laci Peterson,2017-08-15,,"Ted Rowlands, Gloria Gomez, Nancy Grace",USA,English,TV-14,7.4,1167,,,"true crime,murder",,2017.0
tt3877200,The Missing,Tom Shankland,male,BBC One,93,The Missing,2014-11-15,,"Tchéky Karyo, Anastasia Hille, James Nesbitt","UK, France, Belgium, USA","English, French",TV-14,8.2,26733,,,"husband wife relationship,police,cold case,france,missing child","Nominated for 2 Primetime Emmys, 6 wins & 24 nominations total",2014.0
tt2220768,The Mill,James Hawes,male,Channel 4,,The Mill,2013-07-28,,"Kerrie Hayes, Ciaran Griffiths, Barbara Marten",UK,English,,7.4,1128,,,"working class,cotton mill,textile mill,timeframe 19th century,victorian era","Nominated for 1 BAFTA Award, 1 nomination total",2013.0
tt2167393,The Men Who Built America,Ruán Magan,male,History,,The Men Who Built America,2012-10-16,,"Campbell Scott, H.W. Brands, Mark Cuban",USA,English,TV-14,8.5,4146,,,"disruptive innovation,kerosene,steel industry,industrialization,american history","Won 2 Primetime Emmys, 6 wins & 5 nominations total",2012.0
tt5788792,The Marvelous Mrs. Maisel,no_data,no_data,Amazon Prime Video,89,The Marvelous Mrs. Maisel,2017-03-17,,"Rachel Brosnahan, Alex Borstein, Michael Zegen",USA,English,TV-MA,8.7,112493,,,"female protagonist,new york city,jewish family,stand up comedian,1950s","Top rated TV #102 | Won 20 Primetime Emmys, 82 wins & 180 nominations total",2017.0
tt0055686,The Lucy Show,no_data,no_data,CBS,,The Lucy Show,1962-10-01,,"Lucille Ball, Gale Gordon, Vivian Vance",USA,English,TV-PG,7.2,2853,,,"widowed mother,actress name in series title,three word series title,nickname in series title,timeframe 1960s","Won 2 Primetime Emmys, 2 wins & 9 nominations total",1962.0
tt3390892,The Last Tycoon,no_data,no_data,Amazon Prime Video,45,The Last Tycoon,2016-06-17,,"Matt Bomer, Kelsey Grammer, Lily Collins",USA,English,TV-MA,7.6,5215,,,"hollywood,hollywood studio,unfinished novel,columbia tristar,timeframe 1930s","Nominated for 3 Primetime Emmys, 6 nominations total",2016.0
tt5133742,The Last Post,Jonny Campbell,male,BBC One,64,The Last Post,2017-12-22,,"Jessie Buckley, Jeremy Neumark Jones, Tom Glynn-Carney",UK,"English, Arabic",TV-14,7.2,2600,,,"1960s,marriage,military,british army,yemen","Awards, 1 win",2017.0
no_data,The Last Narc,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt2860762,The Killer Speaks,no_data,no_data,A&E,,The Killer Speaks,2012-03-08,,"Pete Demeo, Rodd Houston, Sasha Bardey",USA,English,,7.3,317,,,killer,,2012.0
tt4196686,The Kicks,Elizabeth Allen,female,Amazon Prime Video,,The Kicks,2015-06-26,,"Sixx Orange, Isabella Acres, Emyri Crutchfield",USA,English,TV-G,6.7,727,,,"teen comedy,soccer,african american girl,teenager,teenage girl","Awards, 3 nominations",2015.0
tt1567215,The Kennedys,Jon Cassar,male,History,,The Kennedys,2011-04-03,,"Greg Kinnear, Barry Pepper, Katie Holmes","Canada, USA",English,TV-14,7.5,7403,,,"year 1963,john f. kennedy assassination,first family,president,watching tv","Won 4 Primetime Emmys, 16 wins & 23 nominations total",2011.0
tt3725394,The Island with Bear Grylls,no_data,no_data,Channel 4,,The Island with Bear Grylls,2014-05-05,,"Bear Grylls, Sam Brown, Belinda Fenty",UK,English,,7.2,1296,,,"survival,survival game show,island,non fiction","Won 1 BAFTA Award, 2 wins total",2014.0
tt1215315,The Invisibles,no_data,no_data,BBC One,,The Invisibles,2008-05-01,,"Anthony Head, Warren Clarke, Jenny Agutter",UK,English,,7,224,,,tv mini series,,2008.0
tt1731601,The Indian Doctor,Tim Whitby,male,BBC One,,The Indian Doctor,2021-05-02,,"Sanjeev Bhaskar, Ayesha Dharker, Jacob Oakley",UK,English,Not Rated,7.9,1370,,,"british history,contemporary history,timeframe 1960s,timeframe 20th century,indian family","Awards, 2 wins & 5 nominations",2021.0
no_data,The House that £100k Built,no_data,no_data,BBC Two,no_data,,,,,,,,,,,,,,
tt0081874,The Hitchhiker's Guide to the Galaxy,Alan J. W. Bell,male,BBC Two,67,The Hitchhiker's Guide to the Galaxy,1982-10-30,,"Simon Jones, David Dixon, Peter Jones",UK,English,TV-PG,8,11057,,,"friend,cult favorite,unidentified flying object,humanoid alien,earthman","Won 3 BAFTA Awards, 5 wins total",1982.0
tt10948294,The Great Escapists,no_data,no_data,Amazon Prime Video,59,The Great Escapists,2021-01-28,,"Richard Hammond, Tory Belleci, Joseph Balderrama",USA,,TV-14,5.5,2618,,,desert,,2021.0
tt5712554,The Grand Tour,no_data,no_data,Amazon Prime Video,69,The Grand Tour,2016-11-18,,"Jeremy Clarkson, James May, Richard Hammond","UK, USA",English,TV-14,8.7,73786,,,"three word series title,englishman,trio,2010s,2020s","Top rated TV #112 | Awards, 2 nominations",2016.0
no_data,The First 48: Missing Persons,no_data,no_data,A&E,no_data,,,,,,,,,,,,,,
tt8005176,The Feed,Carl Tibbetts,male,Virgin Media,57,The Feed,2019-11-22,,"Guy Burnet, David Thewlis, Michelle Fairley",USA,English,TV-MA,6.2,2016,,,"invention,augmented reality,social media,cybernetic implant,social sci fi",,2019.0
tt0309152,The FBI Files,no_data,no_data,Discovery Channel,,The F.B.I. Files,1998-09-22,,"James Kallstrom, Anthony D. Call, Bob Featherer",USA,English,TV-PG,7.9,1173,,,"acronym in title,punctuation in title,fbi federal bureau of investigation,forensics,reenactment","Awards, 3 wins",1998.0
tt2294189,The Fall,Jakob Verbruggen,male,BBC Two,84,The Fall,2013-05-12,,"Gillian Anderson, Jamie Dornan, John Lynch",UK,English,TV-MA,8.1,103905,,,"female detective,misogyny,victim blaming,serial murder,female protagonist","Nominated for 2 BAFTA Awards, 10 wins & 24 nominations total",2013.0
tt1772379,The Fades,no_data,no_data,BBC Three,82,The Fades,2011-09-21,,"Lily Loveless, Tom Ellis, Daniel Kaluuya",UK,English,,7.6,6673,,,"teen horror,superhero,celestial fantasy,heavenly conflict,heavenly mission","Won 1 BAFTA Award, 4 wins & 4 nominations total",2011.0
tt3230854,The Expanse,Terry McDonough,male,Amazon Prime Video,94,The Expanse,2015-11-23,,"Steven Strait, Dominique Tipper, Wes Chatham",USA,English,TV-14,8.5,151021,,,"asteroid belt,outer space,spaceship,fictional war,solar system","Top rated TV #222 | Awards, 5 wins & 31 nominations",2015.0
tt0054533,The Dick Van Dyke Show,Alan Rafkin,male,CBS,,The Dick Van Dyke Show,1961-10-03,,"Dick Van Dyke, Mary Tyler Moore, Rose Marie",USA,English,TV-G,8.4,10574,,,"goofball,wisecrack humor,physical comedy,slapstick comedy,actor name in series title","Won 15 Primetime Emmys, 27 wins & 22 nominations total",1961.0
tt1082583,The Dangerous Book for Boys,no_data,no_data,Amazon Prime Video,71,The Dangerous Book for Boys,2018-03-30,,"Chris Diamantopoulos, Gabriel Bateman, Drew Powell",USA,English,TV-Y7,5.8,473,,,based on book,"Awards, 1 nomination",2018.0
tt0061240,The Carol Burnett Show,no_data,no_data,CBS,,The Carol Burnett Show,1967-09-11,,"Carol Burnett, Vicki Lawrence, The Ernie Flatt Dancers",USA,English,TV-G,8.7,6324,,,"guest star,audience question,musical number,variety show,recurring character","Won 25 Primetime Emmys, 40 wins & 69 nominations total",1967.0
tt0105959,The Boys,no_data,no_data,CBS,,The Boys,1993-08-20,,"Ned Beatty, Christopher Meloni, Isabella Hofmann",USA,English,,5.8,12,,,book,,1993.0
tt0092325,The Bold and the Beautiful,Michael Stich,male,CBS,,The Bold and the Beautiful,1987-03-23,,"Katherine Kelly Lang, Ronn Moss, John McCook",USA,"Greek, French, German, Spanish, English",TV-14,3.3,7749,,,"love triangle,psychiatrist,domineering mother,repetition in title,soap opera drama","Awards, 127 wins & 393 nominations",1987.0
tt0418372,The Block,no_data,no_data,Nine,,The Block,2003-05-25,,"Scott Cam, Keith Schleiger, Shelley Craft",Australia,English,,6.2,589,,,"home makeover reality tv,apartment,competition,breakdown,australia","Awards, 5 wins & 12 nominations",2003.0
tt0055662,The Beverly Hillbillies,no_data,no_data,CBS,,The Beverly Hillbillies,1962-09-26,,"Buddy Ebsen, Donna Douglas, Irene Ryan",,,TV-G,7.2,9720,,,"hillbilly,rags to riches,millionaire,nouveau riche,1960s","Nominated for 7 Primetime Emmys, 3 wins & 11 nominations total",1962.0
tt0285341,The Bernie Mac Show,Lee Shallat-Chemel,female,Fox Broadcasting Company,,The Bernie Mac Show,2001-11-07,,"Bernie Mac, Kellita Smith, Jeremy Suarez",USA,English,TV-PG,7.1,7840,,,"boy wears eyeglasses,observational comedy,comedian,stand up comedian,rehab","Won 1 Primetime Emmy, 31 wins & 63 nominations total",2001.0
tt2149175,The Americans,no_data,no_data,FX,96,The Americans,2013-01-30,,"Keri Russell, Matthew Rhys, Keidrich Sellati",USA,English,TV-MA,8.4,98256,,,"spy,1980s,soviet union,kgb,undercover","Won 4 Primetime Emmys, 48 wins & 161 nominations total",2013.0
tt3738872,The American West,no_data,no_data,AMC,,The American West,2016-06-11,,"Mark Lee Gardner, Bert Thomas Morris, David H. Stevens",USA,English,TV-14,7.3,1620,,,"timeframe 19th century,docudrama drama,post civil war,19th century,western u.s.","Awards, 1 nomination",2016.0
no_data,The Amazing Race,no_data,no_data,Discovery Channel,no_data,,,,,,,,,,,,,,
tt5458832,The Aliens,Jonathan van Tulleken,male,E4,,The Aliens,2016-03-08,,"Michael Socha, Jim Howick, Michaela Coel",UK,English,TV-MA,6,1689,,,"electronic tag,curfew,drunken father,drug dealing,alien girl",,2016.0
tt2699110,The Affair,Mark Mylod,male,Showtime,86,The Affair,2014-10-12,,"Dominic West, Ruth Wilson, Maura Tierney",USA,"Mandarin, Hindi, Latin, English, Spanish, French",TV-MA,7.9,45490,,,"psychological drama,timeframe 2010s,timeframe 21st century,female rear nudity,female full frontal nudity","Nominated for 1 Primetime Emmy, 6 wins & 24 nominations total",2014.0
tt0179552,The Adventures of Tintin,no_data,no_data,HBO,,The Adventures of Tintin,1991-11-04,,"Colin O'Meara, Thierry Wermuth, Christian Pelissier","France, Canada, Belgium, USA","French, English",TV-Y7,8.3,18080,,,"based on comic book,tintin,dog,professor,captain","Awards, 2 wins & 1 nomination",1991.0
