id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt0422091,Dhoom,Sanjay Gadhvi,male,Yash Raj Films,,Dhoom,2004-08-27,Sanjay Gadhvi,"Abhishek Bachchan, John Abraham, Uday Chopra",India,"English, Hindi",Not Rated,6.6,20436.0,"₹200,000,000 (estimated)","$7,312,209","heist,cops and robbers,biker,wheelie,traffic","Awards, 16 wins & 27 nominations",2004.0
tt7638344,Dhadak,Shashank Khaitan,male,Gaana,4.9/10,Dhadak,2018-07-20,Shashank Khaitan,"Janhvi Kapoor, Ishaan Khattar, Ashutosh Rana",India,Hindi,Not Rated,4.5,10009.0,,"$10,636,717","one word title,remake,india,udaipur india,dream sequence","Awards, 9 wins & 11 nominations",2018.0
tt5868924,Devil's Whisper,,,,,Devil's Whisper,2019-12-27,Adam Ripp,"Luca Oriel, Dave Abdalian, Violkys Bustamante","USA, Indonesia",English,Not Rated,4.1,709.0,,,possession,"Awards, 7 wins & 6 nominations",2019.0
tt1464191,Decoding Annie Parker,Steven Bernstein,male,Entertainment One Films,5.4/10,,,,,,,,,,,,,,
tt0080603,Death Ship,Alvin Rakoff,male,Embassy Pictures,33%,Death Ship,1980-03-07,Alvin Rakoff,"George Kennedy, Richard Crenna, Nick Mancuso","UK, Canada","English, German",R,4.8,4885.0,"CA$4,500,000 (estimated)",,"haunted ship,nazi,psychotronic film,nazisploitation,exploitation",,1980.0
tt8388508,Dear Comrade,,,,,Dear Comrade,2019-07-26,Bharat Kamma,"Vijay Deverakonda, Rashmika Mandanna, Raj Arjun",India,Telugu,Not Rated,7.3,8687.0,,"$164,714","cricket,love,cricket the sport,communism,student union","Awards, 4 wins & 2 nominations",2019.0
tt5662550,Dead Trigger,,,ADS Service,,Dead Trigger,2019-05-03,"Mike Cuff, Scott Windhauser","Dolph Lundgren, Autumn Reeser, Brooke Johnston",USA,English,R,3.2,1217.0,,"$151,493","game,low budget sci fi movie,zombie,year 2025,boxing",,2019.0
tt1311699,Dead Man Running,Alex De Rakoff,male,Revolver Entertainment,4.1/10,Dead Man Running,2009-10-30,Alex De Rakoff,"Clint Koroan, Fredi 'Kruga' Nwaka, 50 Cent",UK,English,R,5.9,4293.0,"$5,000,000 (estimated)","$735,875","glasses,stripper,stripper pole,smoking,mobile phone",,2009.0
tt0059091,Dead Birds,Robert Gardner,male,United States of America,,,,,,,,,,,,,,,
tt0082242,Dead & Buried,Gary Sherman,male,Embassy Pictures,6.3/10,Dead & Buried,1981-10-09,Gary Sherman,"James Farentino, Melody Anderson, Jack Albertson",USA,English,R,6.5,12749.0,"$3,000,000 (estimated)",,"extreme violence,zombie,murder investigation,tortured to death,suffering","Awards, 2 nominations",1981.0
tt2014202,Dawn Rider,Terry Miles,male,,,Dawn Rider,2012-05-29,Terry Miles,"Christian Slater, Jill Hennessy, Donald Sutherland",Canada,English,R,4.9,2140.0,"$5,000,000 (estimated)",,"standing in the middle of the street,jail cell key,two gun holster,gun holster,holster","Awards, 1 win",2012.0
tt0038451,Danny Boy,Sam Miller,male,Producers Releasing Corporation,,Danny Boy,1945-12-05,Terry O. Morse,"Robert 'Buzz' Henry, Ralph Lewis, Sybil Merritt",USA,English,Passed,6.5,67.0,,,"k 9 corps,u.s. army,world war two,war dog,rehabilitation",,1945.0
tt0049121,"Daniel Boone, Trail Blazer",Ismael Rodríguez,male,Republic Pictures,,"Daniel Boone, Trail Blazer",1956-10-05,"Albert C. Gannaway, Ismael Rodríguez","Bruce Bennett, Lon Chaney Jr., Faron Young",USA,English,Approved,4.7,321.0,,,"b western,british flag",,1956.0
tt0039298,Danger Street,Lew Landers,male,Paramount Pictures,,Danger Street,1947-06-20,Lew Landers,"Jane Withers, Robert Lowery, Bill Edwards",USA,English,Passed,5.5,92.0,,,"b movie,double feature film,1940s,new york city,damsel in distress",,1947.0
tt0027496,Dancing Pirate,Lloyd Corrigan,male,RKO Pictures,,Dancing Pirate,1936-05-22,Lloyd Corrigan,"Charles Collins, Frank Morgan, Steffi Duna",USA,English,Approved,5.0,335.0,,,"dancing instructor,dancing in the night,dancing in the street,boston massachusetts,waltz","Nominated for 1 Oscar, 1 nomination total",1936.0
tt0037627,Dakota,Wim Verstappen,male,Republic Pictures,,Dakota,1945-12-25,Joseph Kane,"John Wayne, Vera Ralston, Walter Brennan",USA,"English, Italian",Passed,5.9,1567.0,,,"one word title,state name in title,old west,wild west,dakota",,1945.0
tt1869347,Crooked House,Gilles Paquet-Brenner,male,Sony Pictures,57%,,,,,,,,,,,,,,
tt0479044,Crips and Bloods: Made in America,Stacy Peralta,male,,6.7/10,Crips and Bloods: Made in America,2008-01-20,Stacy Peralta,"Jim Brown, Tony Muhammad, Kershaun Scott",USA,English,Not Rated,6.8,2844.0,,"$70,219",violence,"Awards, 2 nominations",2008.0
tt0072831,Criminally Insane,,,,,,,,,,,,,,,,,,
tt3277624,Creative Control,,,Cirko Film,6.2/10,Creative Control,2016-03-11,Benjamin Dickinson,"Benjamin Dickinson, Nora Zehetner, Dan Gill",USA,English,R,5.3,2210.0,"$1,000,000 (estimated)","$63,014","augmented reality,speculative fiction,nervous breakdown,art exhibition,cocaine","Awards, 2 wins & 6 nominations",2016.0
tt0215681,Crazy,Heddy Honigmann,female,,,,,,,,,,,,,,,,
tt0051496,Cowboy,Delmer Daves,male,Columbia Pictures,75%,Cowboy,1958-03-23,Delmer Daves,"Glenn Ford, Jack Lemmon, Anna Kashfi",USA,English,Approved,6.7,3176.0,,,"hotel,cowboy,cattle baron,mexico,cattle ranch","Nominated for 1 Oscar, 2 nominations total",1958.0
tt3980372,Courageous Love,Daniel Knudsen,male,Crystal Creek Media,,Courageous Love,2017-02-14,Daniel Knudsen,"Jared Withrow, Jessica Koloian, Kristina Kaylen",USA,English,,4.2,224.0,,,"death of parents,new ceo,caterer,abusive husband,drunkard",,2017.0
tt0118889,Cosmos,Manon Briand,female,,,,,,,,,,,,,,,,
tt0021764,Corsair,Roland West,male,United Artists Corporation,,Corsair,1931-11-28,Roland West,"Chester Morris, Thelma Todd, Fred Kohler",USA,English,Passed,5.6,258.0,,,"modern day piracy,pre code film,crime syndicate,rum running,prohibition era",,1931.0
tt0488381,Corporate,Madhur Bhandarkar,male,Sahara One,,,,,,,,,,,,,,,
tt10280276,Coolie No. 1,David Dhawan,male,Amazon Prime Video,,Coolie No. 1,2020-12-24,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal",India,Hindi,TV-14,4.2,73488.0,,,"revenge,typographic abbreviation in title,numero symbol in title,period in title,remake",,2020.0
tt0026232,Convention Girl,Luther Reed,male,,,Convention Girl,1935-10-31,Luther Reed,"Rose Hobart, Weldon Heyburn, Sally O'Neil",USA,English,Approved,5.7,46.0,,,"cabaret,hostess,convention,atlantic city new jersey,aunt niece relationship",,1935.0
tt0097095,Coming Out,Heiner Carow,male,DEFA,,,,,,,,,,,,,,,
tt0027459,Come and Get It,Richard Rosson,male,United Artists Corporation,7.5/10,Come and Get It,1936-12-23,"Howard Hawks, William Wyler, Richard Rosson","Edward Arnold, Joel McCrea, Frances Farmer",USA,English,Passed,6.9,2126.0,,,"tree conservation,year 1884,marital infidelity,father son conflict relationship,northern wisconsin","Won 1 Oscar, 1 win & 1 nomination total",1936.0
